EVENTID  ,REPORTER ,STA  ,LAT     ,LON      ,ELEV   ,CHN,DIST  ,BAZ  ,ISCPHASE,REPPHASE,DATE      ,TIME       ,RES  ,TDEF,AMPLITUDE,PER  ,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,AUTHOR   ,TYPE  ,MAG 
608120794,         ,MK31 , 46.7937,  82.2904,  609.4,BHZ, 44.40, 55.6,P       ,P       ,2015-12-24,02:39:12.62,  0.7,True,         ,     ,ISC      ,2015-12-24,02:31:02.19, 34.0365,  25.1638, 16.2,ISC      ,mb    , 4.0
608185743,         ,MK31 , 46.7937,  82.2904,  609.4,BHZ, 66.66,326.4,P       ,P       ,2015-12-24,05:22:46.15, -0.0,True,         ,     ,ISC      ,2015-12-24,05:11:58.89, -5.1701, 129.9198, 35.0,ISC      ,mb    , 4.4
608185745,         ,MK31 , 46.7937,  82.2904,  609.4,BHZ, 58.02, 12.2,P       ,P       ,2015-12-24,05:28:36.33,  0.7,True,         ,     ,ISC      ,2015-12-24,05:18:42.58, -9.8816,  67.1361, 10.0,ISC      ,MS    , 4.2
608116865,         ,MK31 , 46.7937,  82.2904,  609.4,BHZ, 65.63,326.4,P       ,P       ,2015-12-24,05:49:25.60, -0.0,True,         ,     ,ISC      ,2015-12-24,05:38:41.25, -4.2021, 129.4924, 10.0,ISC      ,mb    , 4.7
608116866,         ,MK31 , 46.7937,  82.2904,  609.4,BHZ, 65.86,326.4,P       ,P       ,2015-12-24,06:14:21.42, -0.2,True,         ,     ,ISC      ,2015-12-24,06:03:35.74, -4.4570, 129.5251, 10.0,ISC      ,MS    , 3.6
608185751,         ,MK31 , 46.7937,  82.2904,  609.4,BHZ, 65.81,326.4,P       ,P       ,2015-12-24,06:35:29.37,  0.4,True,         ,     ,ISC      ,2015-12-24,06:24:43.37, -4.3258, 129.6346, 10.0,ISC      ,mb    , 4.2
608136788,         ,MK31 , 46.7937,  82.2904,  609.4,???, 11.30, 36.7,Pn      ,Pn      ,2015-12-24,07:49:50.65,  4.2,True,      1.6, 0.70,ISC      ,2015-12-24,07:47:04.89, 38.1035,  72.4779, 10.0,ISC      ,mb    , 4.1
608136788,         ,MK31 , 46.7937,  82.2904,  609.4,BHZ, 11.30, 36.7,Pn      ,        ,2015-12-24,07:49:47.13,  0.7,True,         ,     ,ISC      ,2015-12-24,07:47:04.89, 38.1035,  72.4779, 10.0,ISC      ,mb    , 4.1
608150002,         ,MK31 , 46.7937,  82.2904,  609.4,???, 13.46, 37.0,P       ,P       ,2015-12-24,08:29:25.77,  2.1,True,      2.4, 0.70,ISC      ,2015-12-24,08:26:18.22, 36.5707,  70.5203,204.0,ISC      ,mb    , 3.3
608116874,         ,MK31 , 46.7937,  82.2904,  609.4,S?Z, 41.53, 87.1,P       ,P       ,2015-12-24,12:02:09.20,  1.4,True,         ,     ,ISC      ,2015-12-24,11:54:20.72, 73.4239,   7.7374, 10.0,ISC      ,MS    , 3.9
608116874,         ,MK31 , 46.7937,  82.2904,  609.4,BHZ, 41.53, 87.1,P       ,P       ,2015-12-24,12:02:09.20,  1.4,True,         ,     ,ISC      ,2015-12-24,11:54:20.72, 73.4239,   7.7374, 10.0,ISC      ,MS    , 3.9
608185767,         ,MK31 , 46.7937,  82.2904,  609.4,BHZ, 66.91,329.3,P       ,P       ,2015-12-24,12:41:27.54,  0.3,True,         ,     ,ISC      ,2015-12-24,12:30:38.41, -8.3148, 125.3741, 35.0,ISC      ,mb    , 4.2
608116951,         ,MK31 , 46.7937,  82.2904,  609.4,BHZ, 65.84,326.4,P       ,P       ,2015-12-24,16:24:09.02,  0.3,True,         ,     ,ISC      ,2015-12-24,16:13:22.93, -4.3807, 129.6060, 10.0,ISC      ,mb    , 4.5
608117191,         ,MK31 , 46.7937,  82.2904,  609.4,BHZ, 38.40,316.2,P       ,P       ,2015-12-24,19:25:55.06,  0.0,True,         ,     ,ISC      ,2015-12-24,19:18:32.70, 23.9780, 121.0521,  5.1,ISC      ,MS    , 3.3
608185783,         ,MK31 , 46.7937,  82.2904,  609.4,BHZ, 62.07, 12.5,P       ,P       ,2015-12-24,19:34:05.45, -1.2,True,         ,     ,ISC      ,2015-12-24,19:23:46.63,-13.8388,  66.1699, 15.0,ISC      ,MS    , 3.7
